SAMPN,PERNO,SNAME_lookup,SZIP_lookup,SCITY_lookup,SNAME_similarity_resulst,ZipCode,CityName,similarity
1037952,2,good side high,94025,menlo park,beechwood school,94025,menlo park,0.6984126984126984
1050385,3,charles armstrong,94002,belmont,charles armstrong school,94002,belmont,0.8823529411764706
1050385,4,st charles,94070,san carlos,st. charles elementary,94070,san carlos,0.8
1051388,3,presidio hill,94118,san francisco,presidio hill school,94118,san francisco,0.8888888888888888
1051795,3,presidio,94129,san francisco,presidio middle,94121,san francisco,0.8387096774193549
1059276,2,novato high,94947,novato,novato high,94947,novato,0.9787234042553191
1173970,3,hamilton elementary,94949,novato,lu sutton elementary,94947,novato,0.8125
1173970,4,hamilton elementary,94949,novato,lu sutton elementary,94947,novato,0.8125
1064644,3,capatino high,94030,san bruno,capuchino high,94066,san bruno,0.8275862068965517
1088852,3,walnut acres,94598,walnut creek,walnut acres elementary,94598,walnut creek,0.8333333333333334
1088852,4,walnut acres,94598,walnut creek,walnut acres elementary,94598,walnut creek,0.8333333333333334
1089378,2,del ray elementary,94580,san lorenzo,del rey elementary,94580,san lorenzo,0.9577464788732394
1095531,3,starr king,94107,san francisco,sterne school,94108,san francisco,0.7096774193548387
1119016,3,paly high,94301,palo alto,palo alto high,94301,palo alto,0.8518518518518519
1119181,3,strawberry elementary,95405,santa rosa,strawberry elementary,95405,santa rosa,0.9866666666666667
1120491,3,corte madera,94028,portola valley,corte madera,94028,portola valley,0.9846153846153847
1120491,4,corte madera,94028,portola valley,corte madera,94028,portola valley,0.9846153846153847
1121261,3,rooftop alternative,94114,san francisco,rooftop elementary,94131,san francisco,0.7368421052631579
1121261,4,rooftop alternative,94114,san francisco,rooftop elementary,94131,san francisco,0.7368421052631579
1121851,3,cumberland elementary,94087,sunnyvale,cumberland elementary,94087,sunnyvale,0.9863013698630136
1121851,4,cumberland elementary,94087,sunnyvale,cumberland elementary,94087,sunnyvale,0.9863013698630136
1122037,4,oak grove high,95123,san jose,oak grove high,95123,san jose,0.9824561403508771
1122037,5,edenvale elementary,95111,san jose,edenvale elementary,95111,san jose,0.9850746268656716
1482078,3,alex anderson elementary,95123,san jose,leroy anderson elementary,95117,san jose,0.8717948717948718
1122248,2,"mount eden high, chibot college",94545,hayward,mt. eden high,94545,hayward,0.704225352112676
1124585,2,gilroy high,95020,gilroy,gilroy high,95020,gilroy,0.9787234042553191
1124647,3,cupertino middle,94087,sunnyvale,cupertino middle,94087,sunnyvale,0.9841269841269841
1124769,3,california high,94583,san ramon,california high,94583,san ramon,0.9836065573770492
1124769,4,pine valley middle,94583,san ramon,pine valley middle,94583,san ramon,0.9850746268656716
1124769,5,saint phillip lutheran,94568,dublin,st. philip lutheran,94568,dublin,0.9090909090909091
1125492,3,leland high,95120,san jose,leland high,95120,san jose,0.9803921568627451
1125585,3,heff elementary,94040,mountain view,theuerkauf elementary,94043,mountain view,0.8533333333333334
1126078,2,erey elementary,94513,brentwood,pioneer elementary,94513,brentwood,0.875
1127004,3,hillsdale high,94403,san mateo,hillsdale high,94403,san mateo,0.9830508474576272
1127004,4,hillsdale high,94403,san mateo,hillsdale high,94403,san mateo,0.9830508474576272
1127225,3,casa grande,94954,petaluma,casa grande high,94954,petaluma,0.8928571428571429
1127272,3,summerdale elementary,95132,san jose,summerdale elementary,95132,san jose,0.9859154929577465
1127272,4,summerdale elementary,95132,san jose,summerdale elementary,95132,san jose,0.9859154929577465
1127272,5,summerdale elementary,95132,san jose,summerdale elementary,95132,san jose,0.9859154929577465
1127492,2,oakgrove high,95123,san jose,oak grove high,95123,san jose,0.9642857142857143
1127492,3,st joseph mountain view elementary,94040,mountain view,springer elementary,94040,mountain view,0.7608695652173914
1127626,3,san mateo high,94401,san mateo,san mateo high,94401,san mateo,0.9830508474576272
1127626,4,bowditch,94404,foster city,bowditch middle,94404,foster city,0.8620689655172413
1127626,5,forster city elem,94404,foster city,foster city elementary,94404,foster city,0.8918918918918919
1128740,3,nixon elementary,94305,stanford,lucille m. nixon elementary,94305,stanford,0.8333333333333334
1128740,5,nixon elementary,94305,stanford,lucille m. nixon elementary,94305,stanford,0.8333333333333334
1128764,3,new traditions elementary,94117,san francisco,new traditions elementary,94117,san francisco,0.9887640449438202
1129862,5,mt pleasant high,95127,san jose,mt. pleasant high,95127,san jose,0.967741935483871
2560802,3,egan junior high,94022,los altos,ardis g. egan junior high,94022,los altos,0.8611111111111112
2560802,4,santa rita elementary,94022,los altos,santa rita elementary,94022,los altos,0.9863013698630136
1130726,3,lg high,95030,los gatos,los gatos high,95030,los gatos,0.8461538461538461
1130726,4,rj fisher,95032,los gatos,raymond j. fisher middle,95032,los gatos,0.75
1131268,3,asperian elementary,94580,san lorenzo,hesperian elementary,94580,san lorenzo,0.9459459459459459
1131385,3,oak knoll elementary,94025,menlo park,oak knoll elementary,94025,menlo park,0.9863013698630136
1132059,3,harvest park middle,94566,pleasanton,harvest park middle,94566,pleasanton,0.9859154929577465
1132059,4,henry p. mohr elementary,94588,pleasanton,henry p. mohr elementary,94588,pleasanton,0.9876543209876543
1132119,2,international community,94601,oakland,international community,94601,oakland,0.9863013698630136
1132139,3,presidio middle,94121,san francisco,presidio middle,94121,san francisco,0.9855072463768116
1132139,4,lafayette elementary,94121,san francisco,lafayette elementary,94121,san francisco,0.9873417721518988
1132468,3,salmon creek harmony,95465,occidental,salmon creek school - a charter,95465,occidental,0.7619047619047619
1132468,4,salmon creek harmony,95465,occidental,salmon creek school - a charter,95465,occidental,0.7619047619047619
1133036,3,westborough middle,94080,south san francisco,westborough middle,94080,south san francisco,0.9885057471264368
