,SNAME_lookup,SZIP_lookup,CDSCode
0,alameda high,94501,1611190130229
1,franklin elementary,94501,1611196090039
2,henry haight elementary,94501,1611196090047
3,lincoln middle,94501,1611196090054
4,albany high,94706,1611270130450
5,cornell elementary,94706,1611276090146
6,albany middle,94706,1611276090161
7,marin elementary,94706,1611276095376
8,berkeley high,94704,1611430131177
9,realm charter,94710,1611430138552
10,martin luther king middle,94703,1611436056857
11,cragmont elementary,94708,1611436090195
12,emerson elementary,94705,1611436090211
13,jefferson elementary,94702,1611436090252
14,oxford elementary,94707,1611436090302
15,thousand oaks elementary,94707,1611436090310
16,washington elementary,94704,1611436090328
17,john muir elementary,94705,1611436105316
18,castro valley high,94546,1611500132225
19,castro valley elementary,94546,1611506090351
20,proctor elementary,94546,1611506090435
21,stanton elementary,94546,1611506090468
22,vannoy elementary,94546,1611506090484
23,canyon middle,94552,1611506097653
24,american high,94536,1611760130062
25,irvington high,94538,1611760134270
26,mission san jose high,94539,1611760135244
27,washington high,94536,1611760138693
28,glenmoor elementary,94536,1611766000624
29,mission valley elementary,94539,1611766000749
30,niles elementary,94536,1611766000756
31,parkmont elementary,94536,1611766000798
32,centerville junior high,94536,1611766056873
33,thornton junior high,94536,1611766056915
34,brookvale elementary,94536,1611766089320
35,warwick elementary,94555,1611766089619
36,mission san jose elementary,94539,1611766090534
37,oliveira elementary,94536,1611766090542
38,ardenwood elementary,94555,1611766104723
39,forest park elementary,94555,1611766111330
40,burbank elementary,94541,1611926000905
41,southgate elementary,94545,1611926001176
42,cesar chavez middle,94544,1611926056949
43,strobridge elementary,94546,1611926062160
44,granada high,94550,1612000133397
45,livermore high,94550,1612000134536
46,east avenue middle,94550,1612006001242
47,rancho las positas elementary,94551,1612006089338
48,sunset elementary,94550,1612006097661
49,newark memorial high,94560,1612340130054
50,newark junior high,94560,1612346102917
51,james logan high,94587,1612420134668
52,alvarado elementary,94587,1612426001572
53,cesar chavez middle,94587,1612426097679
54,alliance academy,94603,1612590112771
55,coliseum college prep academy,94621,1612590112797
56,castlemont high,94605,1612590125161
57,life academy,94601,1612590130575
58,oakland high,94610,1612590135905
59,skyline high,94619,1612590137943
60,chabot elementary,94618,1612596001648
61,cleveland elementary,94606,1612596001739
62,crocker highlands elementary,94610,1612596001754
63,franklin elementary,94606,1612596001820
64,kaiser elementary,94618,1612596001895
65,laurel elementary,94619,1612596001994
66,lincoln elementary,94607,1612596002018
67,montclair elementary,94611,1612596002083
68,peralta elementary,94609,1612596002109
69,sequoia elementary,94602,1612596002174
70,thornhill elementary,94611,1612596002216
71,montera middle,94611,1612596057079
72,aspire monarch academy,94603,1612596117568
73,north oakland community charter,94608,1612596117972
74,international community,94601,1612596118616
75,piedmont high,94611,1612750136515
76,beach elementary,94611,1612756002281
77,piedmont middle,94611,1612756066492
78,san leandro high,94577,1612910137588
79,jefferson elementary,94578,1612916002398
80,roosevelt elementary,94577,1612916002448
81,bancroft middle,94577,1612916057111
82,arroyo high,94580,1613090130849
83,san lorenzo high,94580,1613090137810
84,del rey elementary,94580,1613096002554
85,grant elementary,94580,1613096002604
86,dublin high,94568,1750930132704
87,wells middle,94568,1750936066484
88,foothill high,94588,1751010130096
89,amador valley high,94566,1751010130583
90,donlon elementary,94588,1751016001366
91,fairlands elementary,94588,1751016002323
92,walnut grove elementary,94566,1751016002356
93,harvest park middle,94566,1751016066500
94,pleasanton middle,94566,1751016108971
95,henry p. mohr elementary,94588,1751016114318
96,making waves academy,94806,7100740114470
97,clayton valley charter high,94521,7100740731380
98,acalanes high,94549,7616300730283
99,campolindo high,94556,7616300731125
100,las lomas high,94596,7616300733725
101,miramonte high,94563,7616300734244
102,dozier-libbey medical high,94531,7616480117218
103,deer valley high,94531,7616480730465
104,antioch high,94509,7616480730861
105,belshaw elementary,94509,7616486003578
106,kimball elementary,94509,7616486003602
