,level_0,index,SCHOL,SNAME_lookup,SZIP_lookup,enrollment
0,0,0,3.0,abbott middle school,94403,7
1,1,1,3.0,addison elementary school,94301,3
2,2,2,3.0,adelante academy,95127,3
3,3,3,3.0,albany middle school,94706,4
4,4,4,3.0,almaden country school,95120.0,5
5,5,5,3.0,almond elementary school,94022.0,5
6,6,6,3.0,almond elementary school,94022,3
7,7,7,3.0,alta vista elementary school,95124.0,5
8,8,8,3.0,american canyon middle school,94503,5
9,9,9,3.0,anderson school,95117.0,3
10,10,10,3.0,antioch charter academy,94509.0,3
11,11,11,3.0,apple blossom school,95472.0,3
12,12,12,3.0,ardenwood elementary school,94555,3
13,13,13,3.0,arundel elementary school,94070.0,3
14,14,14,3.0,benicia middle school,94510,7
15,15,15,3.0,booksin elementary school,95125.0,5
16,16,16,3.0,borel middle school,94402,4
17,17,17,3.0,bowditch middle school,94404,5
18,18,18,3.0,brandeis hillel day school,94132,7
19,19,19,3.0,bret harte middle school,95120.0,3
20,20,20,3.0,brooks elementary school,95492,4
21,21,21,3.0,brownell elementary school,95020.0,3
22,22,22,3.0,browns valley elementary school,95688,4
23,23,23,3.0,buena vista elementary school,94597,3
24,24,24,3.0,cabrillo elementary school,94044,3
25,25,25,3.0,centerville junior high school,94536,4
26,26,26,3.0,crittenden middle school,94043.0,3
27,27,27,3.0,cumberland,94087,3
28,28,28,3.0,cupertino middle school,94087,6
29,29,29,3.0,diablo vista middle school,94506,3
30,30,30,3.0,discovery charter school,95117,4
31,31,31,3.0,dixie elementary school,94903.0,4
32,32,32,3.0,dixie elementary school,94903,3
33,33,33,3.0,east oakland pride,94621,3
34,34,34,3.0,edna hill middle school,94513,3
35,35,35,3.0,egan junior high school,94022,4
36,36,36,3.0,elementary school,94080,3
37,37,37,3.0,ellis elementary school,94086.0,7
38,38,38,3.0,encinal elementary school,94027,4
39,39,39,3.0,evergreen elementary school,95135,3
40,40,40,3.0,fairmont elementary school,94530,3
41,41,41,3.0,foothill middle school,94598,4
42,42,42,3.0,franklin elementary school,94501,3
43,43,43,3.0,garfield middle school,94025,4
44,44,44,3.0,george peabody elementary school,94118,5
45,45,45,3.0,glenwood elementary school,94901,3
46,46,46,3.0,glorietta elementary school,94563,3
47,47,47,3.0,graham middle school,94040.0,4
48,48,48,3.0,grange middle school,94533.0,3
49,49,49,3.0,green elementary school,94568.0,3
50,50,50,3.0,gremmer elementary school,94538.0,3
51,51,51,3.0,gretchen higgins elementary,95620,3
52,52,52,3.0,guadalupe elementary school,95120.0,4
53,53,53,3.0,hacienda elementary school,95118.0,4
54,54,54,3.0,hall middle school,94939,4
55,55,55,3.0,hamilton elementary school,94949,4
56,56,56,3.0,hillview middle school,94025,5
57,57,57,3.0,hogan middle school,94591.0,3
58,58,58,3.0,hyde middle school,95014.0,3
59,59,59,3.0,international school of the peninsula,94303.0,4
60,60,60,3.0,iron horse middle school,94583.0,3
61,61,61,3.0,james monroe elementary school,95403.0,3
62,62,62,3.0,jefferson elementary school,94702,3
63,63,63,3.0,jls middle school,94306,3
64,64,64,3.0,jordan middle school,94303.0,4
65,65,65,3.0,jordan middle school,94303,3
66,66,66,3.0,kennedy middle school,94061.0,4
67,67,67,3.0,kennedy middle school,95014,3
68,68,68,3.0,la entrada,94025,3
69,69,69,3.0,lincoln elementary school,94010.0,4
70,70,70,3.0,lomita paz,94066.0,3
71,71,71,3.0,lycee francais la perouse french school,94117.0,3
72,72,72,3.0,madera elementary school,94530.0,4
73,73,73,3.0,marin elementary school,94706,5
74,74,74,3.0,mark west elementary school,95403.0,3
75,75,75,3.0,martin murphy middle school,95139,3
76,76,76,3.0,mary silveria grammer school,94903,3
77,77,77,3.0,meadow homes elementary school,94520,3
78,78,78,3.0,mendenhall middle school,94550,3
79,79,79,3.0,middle school,94602,3
80,80,80,3.0,milimi middle school,94560,3
81,81,81,3.0,miller creek middle school,94903,5
82,82,82,3.0,milpitas christian school,95132,3
83,83,83,3.0,mira loma elementary school,94127.0,3
84,84,84,3.0,monte gardens,94519,3
85,85,85,3.0,napa valley language academy,94558,5
86,86,86,3.0,neighborhood christian school,95620,3
87,87,87,3.0,neil armstrong elementary school,94583,3
88,88,88,3.0,nelda mundy elementary school,94534.0,3
89,89,89,3.0,nelda mundy elementary school,94534,5
90,90,90,3.0,nordstrom elementary school,95037.0,6
91,91,91,3.0,nordstrom elementary school,95037,3
92,92,92,3.0,o'hara park middle school,94561,3
93,93,93,3.0,ohlone elementary,94303.0,3
94,94,94,3.0,ohlone elementary school,94303,3
95,95,95,3.0,old orchard school,95008.0,3
96,96,96,3.0,orinda intermediate school,94563.0,4
97,97,97,3.0,oster elementary school,95124.0,3
98,98,98,3.0,oxford elementary school,94707,3
99,99,99,3.0,pacific west christian academy,95020.0,3
100,100,100,3.0,park middle school,94509,3
101,101,101,3.0,peralta elementary school,94609.0,3
102,102,102,3.0,petaluma junior high school,94952,3
103,103,103,3.0,piedmont middle school,94611,3
104,104,104,3.0,pine valley middle school,94583,4
105,105,105,3.0,pleasant hill middle school,94523,3
106,106,106,3.0,pleasant valley,94947,3
107,107,107,3.0,pleasanton middle school,94566.0,7
108,108,108,3.0,pleasanton middle school,94566,3
109,109,109,3.0,presidio middle school,94121,3
110,110,110,3.0,proctor elementary school,94546,3
111,111,111,3.0,redwood middle school,95070.0,5
112,112,112,3.0,rheem elementary school,94556,3
113,113,113,3.0,rincon valley middle school,95409.0,3
114,114,114,3.0,river school,94558,3
115,115,115,3.0,ron nunm elementary school,94513,3
116,116,116,3.0,roosevelt middle school,94118.0,3
117,117,117,3.0,sacred heart schools,94123,3
118,118,118,3.0,santa rosa,95404,3
119,119,119,3.0,school of the madeleine,94709.0,3
120,120,120,3.0,spring hill elementary school,94549,3
121,121,121,3.0,springer elementary school,94040.0,5
122,122,122,3.0,springhill elementary school,94549,3
123,123,123,3.0,st anne school,94122,3
124,124,124,3.0,summerdale elementary,95132,3
125,125,125,3.0,sunol glen school,94586,3
126,126,126,3.0,sunset elementary school,94116,3
127,127,127,3.0,sutter elementary school,95051.0,6
