,CDSCode,School,District,County,Street,City,Zip,State,Latitude,Longitude,type,grade_0,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,Kindergarten Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Ungraded Elementary Enrollmnet,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Ungraded Secondary Enrollment,Total Enrollment,sw_rank_2108,sw_rank_2017,sw_rank_2016,ss_rank_2018_,ss_rank_2017,ss_rank_2016,school_parcel_id,school_id,list_grades,school_node_id,school_zone_id
0,1100170112607,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,1515 Webster Street,Oakland,94612-3355,CA,37.80452,-122.26815,public,0,0,0,0,0,0,0,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,115.0,97.0,81.0,0.0,403.0,4.0,3.0,2.0,,5.0,4.0,6103,1000,[0 0 0 0 0 0 0 0 0 1 1 1 1],53082889,971
1,1100170123968,Community School for Creative Education,Alameda County Office of Education,Alameda,2111 International Boulevard,Oakland,94606-4903,CA,37.784648,-122.23863,public,1,1,1,1,1,1,1,1,1,0,0,0,0,53.0,24.0,27.0,21.0,25.0,22.0,19.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,2.0,1.0,2.0,,1.0,5.0,24358,1001,[1 1 1 1 1 1 1 1 1 0 0 0 0],53087346,947
2,1100170124172,Yu Ming Charter,Alameda County Office of Education,Alameda,1086 Alcatraz Avenue,Oakland,94608-1265,CA,37.847375,-122.28356,public,1,1,1,1,1,1,1,1,0,0,0,0,0,53.0,53.0,53.0,53.0,52.0,53.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,10.0,10.0,10.0,,6.0,6.0,23218,1002,[1 1 1 1 1 1 1 1 0 0 0 0 0],53126420,993
3,1100170125567,Urban Montessori Charter,Alameda County Office of Education,Alameda,5328 Brann Street,Oakland,94619-3312,CA,37.77835200000001,-122.1895,public,1,1,1,1,1,1,1,1,0,0,0,0,0,59.0,71.0,68.0,60.0,60.0,37.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,6.0,6.0,6.0,,1.0,1.0,54245,1003,[1 1 1 1 1 1 1 1 0 0 0 0 0],53097173,903
4,1100170130401,Alameda County Juvenile Hall/Court,Alameda County Office of Education,Alameda,2500 Fairmont Avenue,San Leandro,94578-1005,CA,37.712878,-122.11173,public,0,0,0,0,0,0,0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,13.0,25.0,39.0,0.0,87.0,,,,,,,196545,1004,[0 0 0 0 0 0 0 1 1 1 1 1 1],718372425,866
5,1100170130419,Alameda County Community,Alameda County Office of Education,Alameda,313 West Winton Avenue,Hayward,94544-1136,CA,37.658212,-122.09713,public,0,0,0,0,0,0,0,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,24.0,71.0,133.0,0.0,242.0,,,,,,,267847,1005,[0 0 0 0 0 0 0 0 1 1 1 1 1],53073337,829
6,1100170131581,Oakland Unity Middle,Alameda County Office of Education,Alameda,7200 Bancroft Avenue Suite 261,Oakland,94605-2403,CA,37.768221,-122.17616,public,0,0,0,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,60.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,2.0,1.0,2.0,,6.0,8.0,62094,1006,[0 0 0 0 0 0 1 1 1 0 0 0 0],4861130833,900
7,1100170136101,Connecting Waters Charter - East Bay,Alameda County Office of Education,Alameda,703 C Street,Union City,94587-2195,CA,37.603623,-122.0253,public,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,9.0,,,,,,299249,1007,[1 1 1 1 1 1 1 1 1 1 1 1 0],53069566,802
8,1100170136226,Opportunity Academy,Alameda County Office of Education,Alameda,2300 International Boulevard,Oakland,94601-1019,CA,37.783496,-122.23538,public,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,24963,1008,[0 0 0 0 0 0 0 0 0 0 0 1 1],53087351,928
9,1100170137448,Aurum Preparatory Academy,Alameda County Office of Education,Alameda,1034 66th Avenue,Oakland,94621-3536,CA,37.758631,-122.19604,public,0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,67879,1009,[0 0 0 0 0 0 1 1 1 0 0 0 0],53087419,895
10,1100176001788,Cox Academy,Alameda County Office of Education,Alameda,9860 Sunnyside Street,Oakland,94603-2750,CA,37.746513,-122.16182,public,1,1,1,1,1,1,0,0,0,0,0,0,0,117.0,90.0,89.0,99.0,97.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,2.0,2.0,1.0,,2.0,1.0,79321,1010,[1 1 1 1 1 1 0 0 0 0 0 0 0],53118118,880
11,1100176002000,Lazear Charter Academy,Alameda County Office of Education,Alameda,824 29th Avenue,Oakland,94601-2205,CA,37.776239,-122.23207,public,1,1,1,1,1,1,1,1,1,0,0,0,0,71.0,49.0,36.0,47.0,53.0,53.0,54.0,56.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,4.0,1.0,1.0,,2.0,2.0,24239,1011,[1 1 1 1 1 1 1 1 1 0 0 0 0],678887086,926
12,1100176106751,Alameda County Special Education,Alameda County Office of Education,Alameda,313 West Winton Avenue,Hayward,94544-1136,CA,37.658212,-122.09713,public,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,267847,1012,[1 0 0 0 0 0 0 0 0 0 0 0 0],53073337,829
13,1316090131755,California School for the Blind,California School for the Blind (State Special Schl),Alameda,500 Walnut Avenue,Fremont,94536-4365,CA,37.562576,-121.96563,public,0,0,1,1,1,1,1,1,1,1,1,1,1,0.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,8.0,0.0,3.0,6.0,5.0,9.0,0.0,39.0,,,,,,,316109,1013,[0 0 1 1 1 1 1 1 1 1 1 1 1],1666819835,778
14,1316170131763,California School for the Deaf-Fremont,California School for the Deaf-Fremont (State Special Schl),Alameda,39350 Gallaudet Drive,Fremont,94538-2308,CA,37.558956,-121.96551,public,1,1,1,1,1,1,1,1,1,1,1,1,1,14.0,13.0,13.0,17.0,16.0,22.0,25.0,29.0,35.0,0.0,35.0,35.0,40.0,86.0,0.0,380.0,1.0,,,,,,317280,1014,[1 1 1 1 1 1 1 1 1 1 1 1 1],1666819835,778
