,level_0,SAMPN,PERNO,Unnamed: 0,index,RELAT,GEND,AGE,AGEB,HISP,RACE1,RACE2,RACE3,RACE4,O_RACE,NTVTY,CNTRY,LIC,USER,TRANS,TPTYP1,TPTYP2,TPTYP3,TPTYP4,TPTYP5,TPTYP6,TPTYP7,O_TPTYP,CLIP1,CLIP2,CLIP3,COMP,MET,PASSTL,FLEX,EMPLY,WKSTAT,O_WKSTAT,JOBS,WLOC,WNAME_persons,WCITY_persons,WSTAT,WZIP_persons,WXST1_persons,WXST2_persons,WXCORD_persons,WYCORD_persons,WDAYS,WDAY1,WDAY2,WDAY3,WDAY4,WDAY5,WDAY6,WDAY7,HOURS,WSCHED,COMPR,WMODE,INDUS,O_INDUS,OCCUP,O_OCCUP,WLOC2,WNAME2_persons,WCITY2_persons,WSTAT2,WZIP2_persons,WXST2_1_persons,WXST2_2_persons,WDAYS2,DISAB,DTYPE1,DTYPE2,DTYPE3,DTYPE4,DTYPE5,DTYPE6,DTYPE7,O_DTYPE,DSLIC,EDIS,TTRIP,TRNSUB,SUBAMT,SUBUNT,O_SUBUNT,WTRIP,BTRIP,STUDE,SCHOL,O_SCHOL,SLOC,SONLN,PRESCH,O_PRESCH,SNAME_persons,SCITY_persons,SSTAT,SZIP_persons,SXST1_persons,SXST2_persons,SXCORD_persons,SYCORD_persons,SMODE,EDUCA,O_EDUCA,INTRV,PROXY,CMPLG,HVLOG,PTRIPS,TOLLF,TOLLR1,TOLLR2,TOLLR3,TOLLR4,TOLLR5,TOLLR6,TOLLR7,TOLLR8,TOLLR9,TOLLR10,TOLLB1,TOLLB2,TOLLB3,TOLLB4,TOLLB5,TOLLB6,TOLLB7,TOLLB8,TOLLB9,TOLLB10,HOVL,NOGOWHY,NOGOWHY_O,InComplete,Moto_trip,WCTFIP_persons,WTRACT_persons,SCTFIP_persons,STRACT_persons,WPrimaryCity_persons,WSTFIP_persons,W2PrimaryCity_persons,W2STFIP_persons,SPrimaryCity_persons,SSTFIP_persons,PERWGT,EXPPERWGT,WNAME_lookup,WCITY_lookup,WZIP_lookup,WXST1_lookup,WXST2_lookup,WXCORD_lookup,WYCORD_lookup,WNAME2_lookup,WCITY2_lookup,WZIP2_lookup,WXST2_1_lookup,WXST2_2_lookup,SNAME_lookup,SCITY_lookup,SZIP_lookup,SXST1_lookup,SXST2_lookup,SXCORD_lookup,SYCORD_lookup,WCTFIP_lookup,WTRACT_lookup,WBLOCK,WPrimaryCity_lookup,WSTFIP_lookup,W2PrimaryCity_lookup,W2STFIP_lookup,SCTFIP_lookup,STRACT_lookup,SBLOCK,SPrimaryCity_lookup,SSTFIP_lookup,HCITY,HZIP,HXCORD,HYCORD,HBLOCK,HTRACT,HCTFIP,HPrimaryCity,parcel_id_home,parcel_id_work,zone_id_home,zone_id_work,SNAME_lookup_y,SNAME,SZIP_lookup_y,SZIP,SCITY_lookup_y,SCITY,similarity,Matched?,NAME_CITY_ZIP_lookup,School,Zip,CDSCode
0,0,1037952,2,6,42,3,1,17,,1,1.0,,,,,1,,2.0,,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,7,2.0,,,,0,,1,4.0,,2.0,,,,HIDDEN,MENLO PARK,CA,94025.0,,,HIDDEN,HIDDEN,1.0,1,,1.0,,2,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,81.0,613900.0,,,,,MENLO PARK,6.0,1.93024008,653.99569103,,,,,,,,,,,,,good side high,menlo park,94025,,,-122.155951,37.461464899999996,,,,,,,,81.0,613900.0,60816139002003.0,MENLO PARK,6.0,PALO ALTO,94303,-122.138775,37.467578,60816119006001,611900,81,PALO ALTO,1195607,,333,,good side high,beechwood school,94025,94025,menlo park,menlo park,0.698412698412698,yes- ,good side high menlo park 94025,beechwood school,94025,41689997016009
1,1,1050385,3,33,172,3,1,14,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,7.0,1,3.0,,2.0,,,,HIDDEN,BELMONT,CA,94002.0,,,HIDDEN,HIDDEN,6.0,1,,,,1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,2.0,,,81.0,609000.0,,,,,BELMONT,6.0,0.50088177,169.7066205,,,,,,,,,,,,,charles armstrong,belmont,94002,,,-122.2837779,37.511244,,,,,,,,81.0,609000.0,60816090002005.0,BELMONT,6.0,REDWOOD CITY,94065,-122.252545,37.537021,60816103042015,610304,81,REDWOOD CITY,1257253,,311,,charles armstrong,charles armstrong school,94002,94002,belmont,belmont,0.88235294117647,yes,charles armstrong belmont 94002,charles armstrong school,94002,41688666940043
2,2,1050385,4,34,173,3,1,10,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,7.0,1,3.0,,2.0,,,,HIDDEN,SAN CARLOS,CA,94070.0,,,HIDDEN,HIDDEN,6.0,1,,,,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,81.0,609400.0,,,,,SAN CARLOS,6.0,0.50088177,169.7066205,,,,,,,,,,,,,st charles,san carlos,94070,,,-122.266181,37.495034999999994,,,,,,,,81.0,609400.0,60816094001020.0,SAN CARLOS,6.0,REDWOOD CITY,94065,-122.252545,37.537021,60816103042015,610304,81,REDWOOD CITY,1257253,,311,,st charles,st. charles elementary,94070,94070,san carlos,san carlos,0.8,yes,st charles san carlos 94070,st. charles elementary,94070,41690216978829
3,3,1051388,3,41,185,3,1,10,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,14,2.0,,,,7,0.0,1,3.0,,2.0,,,,HIDDEN,SAN FRANCISCO,CA,94118.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,1.0,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,75.0,13300.0,,,,,SAN FRANCISCO,6.0,0.58982693,199.84263979,,,,,,,,,,,,,presidio hill,san francisco,94118,,,-122.45614180000001,37.7888162,,,,,,,,75.0,13300.0,60750133004004.0,SAN FRANCISCO,6.0,SAN FRANCISCO,94117,-122.4457731,37.76727929999999,60750171011002,17101,75,SAN FRANCISCO,913377,,89,,presidio hill,presidio hill school,94118,94118,san francisco,san francisco,0.888888888888888,yes,presidio hill san francisco 94118,presidio hill school,94118,38684786205652
4,4,1051795,3,44,193,3,1,13,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,2.0,,,,4,0.0,1,3.0,,2.0,,,,HIDDEN,SAN FRANCISCO,CA,94129.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,2.0,1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,2.0,,,75.0,60100.0,,,,,SAN FRANCISCO,6.0,1.21925652,413.10328065,,,,,,,,,,,,,presidio,san francisco,94129,,,-122.46625719999999,37.798924,,,,,,,,75.0,60100.0,60750601001118.0,SAN FRANCISCO,6.0,SAN FRANCISCO,94122,-122.48460459999998,37.7576385,60750326021008,32602,75,SAN FRANCISCO,938197,,177,,presidio,presidio middle,94129,94121,san francisco,san francisco,0.838709677419354,yes,presidio san francisco 94129,presidio middle,94121,38684786062079
5,5,1059276,2,52,265,3,1,15,,1,1.0,,,,,2,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,2.0,,,,2,,1,4.0,,2.0,,,,HIDDEN,NOVATO,CA,94947.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,1.0,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,41.0,104101.0,,,,,NOVATO,6.0,0.08799304,29.81342677,,,,,,,,,,,,,novato high,novato,94947,,,-122.573047,38.089108,,,,,,,,41.0,104101.0,60411041011001.0,NOVATO,6.0,NOVATO,94949,-122.52307490000001,38.046522100000004,60411050001015,105000,41,NOVATO,814151,,1407,,novato high,novato high,94947,94947,novato,novato,0.978723404255319,yes,novato high novato 94947,novato high,94947,21654172132272
6,6,1173970,3,55,5920,3,1,8,,1,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,0.0,1,3.0,,2.0,,,,HIDDEN,NOVATO,CA,94949.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,2.0,1,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,41.0,105000.0,,,,,NOVATO,6.0,5.06008994,1714.43803345,,,,,,,,,,,,,hamilton elementary,novato,94949,,,-122.52931799999999,38.05429,,,,,,,,41.0,105000.0,60411050001013.0,NOVATO,6.0,NOVATO,94949,-122.52410139999999,38.0453287,60411050001015,105000,41,NOVATO,814151,,1407,,hamilton elementary,hamilton meadow park,94949,94949,novato,novato,0.8125,yes- ,hamilton elementary novato 94949,hamilton meadow park,94949,21654176024491
7,7,1173970,4,56,5921,3,2,6,,1,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,1.0,1,3.0,,2.0,,,,HIDDEN,NOVATO,CA,94949.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,2.0,1,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,41.0,105000.0,,,,,NOVATO,6.0,5.06008994,1714.43803345,,,,,,,,,,,,,hamilton elementary,novato,94949,,,-122.52931799999999,38.05429,,,,,,,,41.0,105000.0,60411050001013.0,NOVATO,6.0,NOVATO,94949,-122.52410139999999,38.0453287,60411050001015,105000,41,NOVATO,814151,,1407,,hamilton elementary,hamilton meadow park,94949,94949,novato,novato,0.8125,yes- ,hamilton elementary novato 94949,hamilton meadow park,94949,21654176024491
8,8,1064644,3,66,335,3,1,15,,1,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,30,2.0,,,,15,4.0,1,4.0,,2.0,,,,HIDDEN,SAN BRUNO,CA,94030.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,1.0,1,1.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,81.0,603900.0,,,,,MILLBRAE,6.0,0.92619695,313.81009139,,,,,,,,,,,,,capatino high,san bruno,94030,,,-122.40688999999999,37.609992999999996,,,,,,,,81.0,603900.0,60816039002014.0,MILLBRAE,6.0,DALY CITY,94015,-122.485125,37.692202,60816012004001,601200,81,DALY CITY,1052397,,193,,capatino high,capuchino high,94030,94066,san bruno,san bruno,0.827586206896551,yes,capatino high san bruno 94030,capuchino high,94066,41690474130738
9,9,1088852,3,99,430,3,1,11,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,6,0.0,1,3.0,,2.0,,,,HIDDEN,WALNUT CREEK,CA,94598.0,,,HIDDEN,HIDDEN,1.0,1,,2.0,1.0,3,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,13.0,338301.0,,,,,WALNUT CREEK,6.0,0.57401729,194.48608614,,,,,,,,,,,,,walnut acres,walnut creek,94598,,,-122.020881,37.9181571,,,,,,,,13.0,338301.0,60133383011022.0,WALNUT CREEK,6.0,WALNUT CREEK,94598,-122.01332,37.915146,60133383011027,338301,13,WALNUT CREEK,396616,,1140,,walnut acres,walnut acres elementary,94598,94598,walnut creek,walnut creek,0.833333333333333,yes,walnut acres walnut creek 94598,walnut acres elementary,94598,7617546004360
